filename,AAE
ant-1.3,0.8072727272727273,21.0
ant-1.4,0.7434855366961511,21.0
ant-1.5,0.8648464163822526,21.0
ant-1.6,0.824445683141335,21.0
ant-1.7,0.8352090862157976,21.0
camel-1.0,0.8731563421828908,21.0
camel-1.2,0.710611388384755,21.0
camel-1.4,0.7916130357387375,21.0
camel-1.6,0.7886445595854922,21.0
ivy-1.1,0.8233383598190465,21.0
ivy-1.4,0.8448593822037804,21.0
ivy-2.0,0.8552150974025972,21.0
jedit-3.2,0.8686383584847551,21.0
jedit-4.0,0.8538955405170917,21.0
jedit-4.1,0.8510723147819922,21.0
jedit-4.2,0.8816770345997635,21.0
jedit-4.3,0.9041327913279132,21.0
log4j-1.0,0.8472374013357621,21.0
log4j-1.1,0.8415831021975677,21.0
log4j-1.2,0.5940444705651876,21.0
lucene-2.0,0.7724071947952545,21.0
lucene-2.2,0.7313070859981615,21.0
lucene-2.4,0.7347635889798958,21.0
poi-1.5,0.6930811557726948,21.0
poi-2.0,0.7969949371223256,21.0
poi-2.5,0.6786237955592794,21.0
poi-3.0,0.7138054298642534,21.0
synapse-1.0,0.8565362450712769,21.0
synapse-1.1,0.7962962962962963,21.0
synapse-1.2,0.7429148706896553,21.0
velocity-1.4,0.6370991253644315,21.0
velocity-1.5,0.6937205296891322,21.0
velocity-1.6,0.7958630199954033,21.0
xalan-2.4,0.8007412136042842,21.0
xalan-2.5,0.6558620802874343,21.0
xalan-2.6,0.7078309604519774,21.0
xalan-2.7,0.5750627824530186,21.0
xerces-init,0.7659311007614401,21.0
xerces-1.2,0.730098814229249,21.0
xerces-1.3,0.851868373194249,21.0
xerces-1.4,0.7716181397370978,21.0
