filename,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.2968781762774373,0.624689438757389
ant-1.4_ant-1.5,0.14256984036817474,0.12572422975030975
ant-1.5_ant-1.6,1.4726024177909574,1.4897699058531264
ant-1.6_ant-1.7,1.1733434908827465,2.094770573986376
camel-1.0_camel-1.2,4.267968454374342,4.261048622117353
camel-1.2_camel-1.4,1.9394641968932649,1.7700716251921609
camel-1.4_camel-1.6,3.1763622609963096,3.5208462349518896
ivy-1.1_ivy-1.4,0.09987344474709356,1.7915033590150984
ivy-1.4_ivy-2.0,0.2550959456664237,0.2553608786100998
jedit-3.2_jedit-4.0,5.1441330403278815,5.610495309282812
jedit-4.0_jedit-4.1,3.559907295652728,3.546094193415865
jedit-4.1_jedit-4.2,1.1836095361655583,2.14060365260444
jedit-4.2_jedit-4.3,0.07843390982519355,0.028475565292626705
log4j-1.0_log4j-1.1,2.577756802456015,2.4020622611708293
log4j-1.1_log4j-1.2,3.7624145110772114,4.312490740037546
lucene-2.0_lucene-2.2,12.824477582972778,16.56717546888322
lucene-2.2_lucene-2.4,9.657204063032696,8.838747729982758
poi-1.5_poi-2.0,0.12756413600248662,2.143035469200613
poi-2.0_poi-2.5,3.9012022033151568,3.355724563184965
poi-2.5_poi-3.0,5.0032228544685475,3.580282262389129
synapse-1.0_synapse-1.1,0.937450112617474,1.1036009335131292
synapse-1.1_synapse-1.2,1.4184676784145185,1.2775702759618803
velocity-1.4_velocity-1.5,5.360025448321797,3.87210263392113
velocity-1.5_velocity-1.6,4.101093753002473,3.18849830295304
xalan-2.4_xalan-2.5,1.0553651760582057,1.018239216112245
xalan-2.5_xalan-2.6,0.9445333228156512,1.0026883998977565
xalan-2.6_xalan-2.7,0.4748043871676965,1.1758224666853954
xerces-init_xerces-1.2,1.5483828180514843,0.43914902141929213
xerces-1.2_xerces-1.3,3.705738594585238,3.784169110582497
xerces-1.3_xerces-1.4,32.924992492907805,32.85054050202114
