ant-1.3,0.6364727272727271,0.55
ant-1.4,0.644758546497729,0.72
ant-1.5,0.7263208191126282,0.81
ant-1.6,0.7022705314009662,0.64
ant-1.7,0.7948628330884395,0.93
camel-1.0,0.6170111672987777,0.93
camel-1.2,0.563516995614035,0.54
camel-1.4,0.6307556654799403,0.73
camel-1.6,0.6571062694300516,0.78
ivy-1.1,0.742490237018134,0.93
ivy-1.4,0.6489891655140617,0.71
ivy-2.0,0.743038758116883,0.86
jedit-3.2,0.7299822913458578,0.89
jedit-4.0,0.6477714876511075,0.58
jedit-4.1,0.7453710268226398,0.82
jedit-4.2,0.7965680427741505,1.01
jedit-4.3,0.6666209349593497,0.65
log4j-1.0,0.7604335154826957,1.13
log4j-1.1,0.7339438873479839,1.11
log4j-1.2,0.5253747183857379,0.43
lucene-2.0,0.6865227707615764,0.86
lucene-2.2,0.6653754229497935,1.09
lucene-2.4,0.6328168279970215,0.81
poi-1.5,0.5811833469045328,0.65
poi-2.0,0.5792389351625022,0.66
poi-2.5,0.5609450146627565,0.58
poi-3.0,0.653780882352941,0.92
synapse-1.0,0.6860994843797392,0.84
synapse-1.1,0.7297447447447446,1.12
synapse-1.2,0.6596796875000002,0.84
velocity-1.4,0.5395281827016521,0.58
velocity-1.5,0.64823326368693,1.08
velocity-1.6,0.5932036313491151,0.45
xalan-2.4,0.6926332588573254,0.8
xalan-2.5,0.5483396772461085,1.1
xalan-2.6,0.6369608497175143,0.94
xalan-2.7,0.5390117329952286,0.8
xerces-init,0.5897769276262289,0.62
xerces-1.2,0.5346293478260868,0.6
xerces-1.3,0.709939665328438,1.02
xerces-1.4,0.5957796702640955,0.65
