filename,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_MSE
ant-1.3_ant-1.4,0.33379019319983505,0.3501668790097615,4.316934868719414,0.4660183649208353,1.4527509875737823,0.6229642732481558
ant-1.4_ant-1.5,6.116237127420932,4.267540476356079,9.34157735616448,72.89352058623166,14822.213955914542,452.87087631013986
ant-1.5_ant-1.6,44.54639353665287,59041.25184656652,19.155137985409244,472596.55481141154,414.8517280941439,23.268796622964093
ant-1.6_ant-1.7,166.62087178036637,0.8135384659924929,1591.3474937043295,1.2550397119111218,1759.0697481226791,41.927261194267615
camel-1.0_camel-1.2,311.3449433682285,2052.8324328487656,4.288807307662471,1012.224987583088,1293.7786427209196,125.60232584076807
camel-1.2_camel-1.4,351.27474839104866,186.97197363861244,33.23329587163781,3.286851853002963,2796.7667849454187,3761.0952486743986
camel-1.4_camel-1.6,2460.131442408145,24.88379295810193,97.76067217048477,8.858891897717383,64.38475775947822,128.939930814744
ivy-1.1_ivy-1.4,146.82192869659383,65.7156676089786,40.23484241616218,6512.471682912735,19.076376427323336,26425.216703070662
ivy-1.4_ivy-2.0,0.26646934188368826,102.40035775674706,20.82590138617669,228.819683509024,0.20854642363661316,0.22998805703431904
jedit-3.2_jedit-4.0,8991.077392959993,4714.7803186255815,3.3583795297912875,164.4334672577123,142375.38286555465,137.77800387143338
jedit-4.0_jedit-4.1,30.19656958119689,26.096049517830487,79.40138823130856,3.5596499372073525,8.727114151739817,2.6136135799804494
jedit-4.1_jedit-4.2,29.726058771625656,129.8665756156591,6.592165882738707,0.7472742249046742,3043.801614317984,1.1624070198177376
jedit-4.2_jedit-4.3,191.67913354333683,2292.260638286075,1.953812657691557,0.027429770824823292,185.102584225618,42.2817287737891
log4j-1.0_log4j-1.1,1655.5390819242514,32450.90130668752,355.2808200786845,10657.471777359191,28217.59714944173,1.0224288271057425
log4j-1.1_log4j-1.2,345.9357857823432,52191.99964303077,4.713631414549958,59.58865233535791,4.252468587582412,10838.932428716309
lucene-2.0_lucene-2.2,6177.153524089637,842.9248770274647,381.6606719547747,8.107583674989472,9.033605754120213,8.411262928201795
lucene-2.2_lucene-2.4,12523.788331241987,23042.852573926197,102647.41292811211,1004271.3652058286,5353.153018913427,456.94821811292013
poi-1.5_poi-2.0,100.3794678233858,13.337785807695205,1.4131211977109182,10320.953993529662,893.1590594176537,3.6787686430788695
poi-2.0_poi-2.5,297.8402301525468,4876.430030099679,1150.0731264139895,2631.646507829747,9342.825151375191,5739.926585223828
poi-2.5_poi-3.0,5229.670426158355,1489.0028883432974,3.717265359285967,452.8131236248169,9.580045972045868,4040.2798793152583
synapse-1.0_synapse-1.1,1332.615103101602,659.5842829219664,131.71581425951572,90.80338449488121,154.50296062997597,1.1889283924420129
synapse-1.1_synapse-1.2,1931.6240275484736,288.75278156238664,55.42186108085487,37.378526056524954,1.1582621065047831,253.49185666086484
velocity-1.4_velocity-1.5,370.2327308821176,89.57809872242373,6.894273902164319,406.7003331515454,674.7548284407403,1604.6348065338943
velocity-1.5_velocity-1.6,2.2171050880982976,230.71495863501656,15.363059746487249,2.7809194408328968,2.1122309901445924,2.28484576576347
xalan-2.4_xalan-2.5,83356.42593813133,5005726.16016138,25.210426260918712,3529.388125508817,30249.91208086833,103.89918637800044
xalan-2.5_xalan-2.6,7067.826614342739,139782.25110639608,45.167600799963466,5.497800435301838,0.8186425557306519,134.99151735671498
xalan-2.6_xalan-2.7,145818.4042748124,1188628.175741135,4417.308005298315,933431.1800547356,335723.20065533393,3367.3139949003953
xerces-init_xerces-1.2,10366.832442090496,68.42403085861284,1032.0024450806447,75402.12793122724,730223.0246628412,262507.9009492866
xerces-1.2_xerces-1.3,4.58394054079746,3.780187821104344,12.231942540117414,3.7794578775944103,3.6247702739918,2517.9550158808515
xerces-1.3_xerces-1.4,29.251035435528895,33.18707985917644,138.66578943698343,26.08889341017793,67875.38867140401,850.5586152771273
