ant-1.3,0.7415127272727271,0.94
ant-1.4,0.6763572794644992,0.88
ant-1.5,0.7296791808873722,0.86
ant-1.6,0.734678558156819,0.78
ant-1.7,0.7654981732258448,0.87
camel-1.0,0.6809755583649391,1.01
camel-1.2,0.6254724207249446,1.02
camel-1.4,0.7330508181569222,1.26
camel-1.6,0.7144183730569946,1.22
ivy-1.1,0.7303994122878242,0.88
ivy-1.4,0.7071461502996773,0.89
ivy-2.0,0.7390642755681816,0.93
jedit-3.2,0.7686675200184787,1.31
jedit-4.0,0.7862555671236043,0.97
jedit-4.1,0.710305668793572,0.79
jedit-4.2,0.7925746748239164,0.93
jedit-4.3,0.6947679539295393,0.75
log4j-1.0,0.7599902853673345,1.12
log4j-1.1,0.7219788777469597,1.12
log4j-1.2,0.5478621314526397,0.94
lucene-2.0,0.7020878300803673,1.06
lucene-2.2,0.6589940640341097,0.96
lucene-2.4,0.6478024711466865,1.07
poi-1.5,0.592485935302391,0.82
poi-2.0,0.6863343132451415,1.14
poi-2.5,0.6027555509007122,0.87
poi-3.0,0.6820933257918549,1.28
synapse-1.0,0.7594419168941464,0.84
synapse-1.1,0.6902049777049776,1.15
synapse-1.2,0.670827182112069,1.01
velocity-1.4,0.5562995626822157,0.86
velocity-1.5,0.6270106869582404,1.07
velocity-1.6,0.6565391863939325,0.83
xalan-2.4,0.729898304784197,1.0
xalan-2.5,0.5992705790198244,0.82
xalan-2.6,0.6640752361581923,1.06
xalan-2.7,0.552301538068069,1.13
xerces-init,0.6137506468544391,0.8
xerces-1.2,0.5491448616600789,0.85
xerces-1.3,0.7679306065493146,1.41
xerces-1.4,0.6614380551719435,1.11
